username,country,score,date_written,positive,negative,tags
Laura,España,8.0,Escrito en 15 de diciembre de 2025,"El patio, la decoración, el nórdico súper calentito. Las instalaciones nuevas y muy cordobesas :)","Que el baño estuviera dentro de la habitación y que no hubiera cortinas en las literas (al menos en las de abajo), falta de privacidad... La entrada está en un callejón que, por la noche, no da mucha confianza.","['•Viaje de negocios', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 1 noche', '•Enviado por móvil']"
Amparo,España,8.0,Escrito en 13 de diciembre de 2025,"Instalaciones muy nuevas. Ubicación muy céntrica. El desayuno tipo bufé es básico pero con fruta fresca, leche con opciones vegetales, zumo, dos tipos de pan muy buenos, cruasán, y fiambre.  bastante bueno para el precio de 6€.",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 2 noches', '•Enviado por móvil']"
Rosa,España,10.0,Escrito en 9 de diciembre de 2025,Las instalaciones y la ubicación,,"['•Pareja', '•Habitación Cuádruple con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Diego,España,8.0,Escrito en 7 de diciembre de 2025,La ubicación y las instalaciones,El no decirle al resto de huéspedes el respeto para el descanso nocturno,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas', '•Estancia de 3 noches', '•Enviado por móvil']"
Bemuse,España,8.0,Escrito en 4 de diciembre de 2025,La ubicación es bastante buena. Y las instalaciones muy cuidadas y limpias. El personal muy agradable.,"Lo único malo (aunque no es una cuestión del alojamiento) es que cuando estás en habitaciones para compartir la gente se olvida eso de no hacer ruido de noche.
Además sigo echando en falta el tema de la separación con cortinas en las camas en la mayoría de hosteles.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 6 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Diaz,Colombia,8.0,Escrito en 3 de diciembre de 2025,"El hostal es precioso, muy bonito, esta bien ubicado. Marina y todos los de la recepción super amables.","La segunda noche cuando llegué, la habitación olía inmundo, era por un huésped que no se bañaba e hizo que todo el cuarto oliera así. No es un tema del hostal pero a tener en cuenta. Me cambiaron de cuarto y en el otro habia un señor que convirtió su cama en un tendedero de ropa. En general temas de hostales y el hecho que no hubiera cortinas o algo para dar más privacidad le quita puntos","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 2 noches', '•Enviado por móvil']"
Mohammed,España,10.0,Escrito en 2 de diciembre de 2025,"Excelente lugar, muy limpio, moderno, espacioso y con todos los servicios. Está ubicado en el centro de la ciudad, cerca de todo. También quiero agradecer al personal; son excepcionales, respetuosos y amables. Te sientes como en casa. Lo recomiendo ampliamente; es el mejor lugar disponible actualmente.",Todo es excelente,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
María,Argentina,8.0,Escrito en 1 de diciembre de 2025,"El edificio antiguo es hermosísimo, muy bien decorado y mantenido. Me encantó. El personal muy amable.","El desayuno era regular, con pocas opciones.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 2 noches']"
Antonio,España,8.0,Escrito en 28 de noviembre de 2025,"El lugar es como un convento reformado o algo así. Desde fuera sólo se ve una puerta. Hay que tocar el timbre y te abren. La recepción está dentro y el personal es muy muy amable. Hay una sala común con nevera donde puedes guardar tu comida y comer. Por la mañana ahí hacen el desayuno. Las habitaciones está bien, modernas, y las camas son cómodas, aunque no son muy grandes. La calle es muy tranquila.","El sitio está bien, pero por fuera no se ve más que una puerta, y no vimos el timbre, así que estuvimos un rato hasta que salió alguien. Pero fue despiste nuestro: llamen al timbre que les atenderán, son muy amables. Y otra cosa: las camas de arriba de las literas no tienen barandillas (o nosotros no las vimos), cuidado con los niños.","['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche']"
Mary,Argentina,10.0,Escrito en 27 de noviembre de 2025,"Ambiente agradable, espacioso y tranquilo",Le faltaría algún lugar de apoyo en las habitaciones ( yo estuve en la de seis),"['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 4 noches', '•Enviado por móvil']"
